0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
112.9992623,113.0162154,113.0332129,113.050268,113.0673713,113.0845046,113.1016747,113.1188862,113.1361491,113.1534588,113.1708116,113.1881987,113.2056258,113.2230934,113.2406159,113.2581879,113.275809,113.2934783,113.3111844,113.3289073,113.3466534,113.3644369,113.3822526,113.4001043,113.4179837,113.4358833,113.4538072,113.4717555,113.4897142,113.507697,113.5256956,113.5437031,113.5617166,113.5797327,113.5977571,113.6157906,113.6338193,113.6518365,113.6698481,113.6878518,113.7058457,113.7238218,113.7417798,113.75971,113.7776068,113.7954724,113.8133002,113.831091,113.8488454,113.8665633,113.8842362,113.9018558,113.919422,113.9369255,113.9543695,113.9717496,113.9890573,114.0062849,114.0234361,114.0405077,114.0575009,114.0744029,114.0912113,114.1079241,114.1245418,114.141062,114.1574937,114.1738266,114.1900605,114.2062028,114.22226,114.2382242,114.2540916,114.2698655,114.2855498,114.301147,114.3166604,114.3321019,114.3474681,114.3627531,114.377949,114.39306,114.4080862,114.423034,114.4379121,114.4527135,114.46744,114.4820888,114.4966587,114.5111369,114.525553,114.5399107,114.5542106,114.5684552,114.5826329,114.5967479,114.6108125,114.6248241,114.6387989,114.65272,114.6666039,114.6804488,114.6942471,114.7080034,114.7217329,114.7354561,114.7491515,114.7628173,114.7764687,114.7900968,114.8037044,114.8172982,114.8308633,114.8444156,114.8579571,114.8714911,114.8850215,114.8985416,114.9120453,114.9255391,114.9390141,114.9524669,114.9659103,114.9793483,114.9927645,115.0061542,115.0195017,115.0328208,115.0461119,115.0593743,115.0725945,115.0857805,115.0989434,115.1120664,115.1251296,115.138143,115.1511131,115.1640521,115.1769324,115.1897516,115.2025228,115.215237,115.2278682,115.2404414,115.252948
112.9982825,113.0152166,113.0321964,113.0492339,113.0663173,113.0834299,113.1005786,113.1177658,113.1350059,113.1522943,113.1696202,113.1869823,113.2043884,113.2218373,113.2393409,113.2568917,113.2744882,113.2921315,113.3098009,113.32749,113.3452061,113.3629588,113.3807454,113.398567,113.4164115,113.4342773,113.4521711,113.4700866,113.4880146,113.5059638,113.5239277,113.5418997,113.5598751,113.577854,113.595842,113.6138365,113.6318244,113.6498016,113.6677731,113.6857363,113.7036885,113.7216234,113.7395355,113.7574188,113.7752691,113.7930894,113.8108718,113.828621,113.8463373,113.8640159,113.8816493,113.8992251,113.9167452,113.934205,113.9516038,113.96894,113.9862063,114.0033926,114.0205022,114.0375305,114.0544794,114.0713371,114.0881008,114.1047734,114.1213523,114.1378353,114.1542286,114.1705233,114.1867247,114.2028388,114.2188696,114.2348047,114.2506452,114.2663928,114.2820528,114.297624,114.3131107,114.3285247,114.3438661,114.3591256,114.3742961,114.3893825,114.4043896,114.4193168,114.4341748,114.4489604,114.4636736,114.4783067,114.4928612,114.507324,114.5217273,114.5360737,114.5503597,114.564591,114.5787547,114.5928566,114.6069077,114.620906,114.6348652,114.6487711,114.6626404,114.6764723,114.6902595,114.704004,114.7177255,114.7314367,114.7451219,114.758778,114.77242,114.7860365,114.7996347,114.8132184,114.8267731,114.8403145,114.8538455,114.8673696,114.8808924,114.8944047,114.9078971,114.9213783,114.934841,114.9482828,114.961713,114.9751355,114.9885395,115.0019208,115.0152575,115.0285651,115.0418464,115.0551001,115.0683143,115.0814936,115.0946504,115.1077676,115.1208241,115.1338314,115.1467919,115.1597208,115.1725927,115.1854048,115.1981681,115.2108764,115.2235023,115.2360696,115.2485717
112.9973227,113.0142364,113.0312015,113.0482227,113.0652852,113.0823751,113.0995012,113.1166674,113.1338882,113.1511549,113.1684555,113.1857942,113.2031792,113.2206097,113.2380928,113.255622,113.2731915,113.2908042,113.3084363,113.3260936,113.343783,113.3615061,113.3792635,113.3970569,113.4148693,113.4327012,113.4505649,113.4684495,113.4863489,113.5042638,113.5221912,113.5401244,113.55806,113.5760035,113.5939527,113.6119068,113.6298543,113.6477919,113.6657225,113.6836426,113.7015533,113.7194447,113.7373116,113.7551506,113.7729589,113.790735,113.8084746,113.826186,113.8438636,113.8615009,113.8790961,113.8966292,113.9141031,113.931517,113.9488727,113.9661663,113.9833892,114.0005324,114.0175976,114.0345816,114.051485,114.068299,114.0850207,114.1016523,114.1181934,114.1346395,114.1509951,114.1672547,114.183425,114.1995113,114.215513,114.2314182,114.2472295,114.262951,114.2785878,114.294133,114.3095938,114.3249801,114.3402923,114.355522,114.3706657,114.3857316,114.4007192,114.4156254,114.4304656,114.4452347,114.4599307,114.4745477,114.4890867,114.5035362,114.5179272,114.5322601,114.5465311,114.5607478,114.5748982,114.5889881,114.6030251,114.6170092,114.6309507,114.6448424,114.6586965,114.6725151,114.6862907,114.7000234,114.7137363,114.7274332,114.7411079,114.754751,114.7683823,114.7819889,114.7955766,114.8091475,114.8226896,114.8362197,114.8497402,114.8632545,114.8767676,114.8902702,114.9037497,114.91722,114.9306726,114.9441022,114.9575186,114.9709265,114.9843173,114.9976858,115.0110101,115.0243069,115.0375816,115.0508296,115.0640374,115.0772106,115.0903596,115.1034693,115.1165189,115.1295182,115.1424691,115.155387,115.1682504,115.1810533,115.1938086,115.2065109,115.2191323,115.2316956,115.2441952
112.9963834,113.0132805,113.0302312,113.0472352,113.0642761,113.0813438,113.098446,113.1155924,113.1327951,113.1500429,113.1673221,113.1846369,113.202,113.2194109,113.2368702,113.2543744,113.2719179,113.2894978,113.3070967,113.3247254,113.3423872,113.3600837,113.3778129,113.3955785,113.4133591,113.4311586,113.4489912,113.4668446,113.4847123,113.5025917,113.5204827,113.5383765,113.5562755,113.5741812,113.5920904,113.6100027,113.6279097,113.6458073,113.663697,113.6815769,113.6994474,113.7172958,113.7351185,113.7529158,113.7706796,113.7884123,113.8061113,113.8237833,113.8414207,113.8590194,113.876573,113.8940636,113.9114901,113.9288565,113.9461686,113.9634175,113.980595,113.9976953,114.0147151,114.0316538,114.0485111,114.0652824,114.0819632,114.0985558,114.11506,114.1314691,114.1477892,114.1640163,114.1801573,114.1962136,114.2121842,114.2280588,114.2438388,114.2595358,114.2751501,114.2906699,114.3061051,114.3214624,114.3367433,114.3519458,114.3670666,114.3821126,114.3970795,114.4119645,114.4267874,114.4415376,114.4562159,114.4708191,114.4853436,114.499778,114.5141537,114.5284714,114.5427293,114.5569333,114.5710699,114.5851446,114.599166,114.6131338,114.6270576,114.6409328,114.6547706,114.6685749,114.6823383,114.6960603,114.709762,114.7234448,114.7371068,114.7507379,114.7643588,114.7779543,114.79153,114.8050861,114.8186158,114.8321359,114.8456463,114.8591521,114.8726518,114.8861425,114.8996083,114.9130679,114.9265082,114.9399253,114.9533293,114.9667238,114.9801007,114.9934561,115.0067695,115.0200532,115.0333202,115.0465606,115.0597633,115.07293,115.0860698,115.0991702,115.1122122,115.125205,115.1381491,115.1510575,115.1639106,115.1767028,115.189449,115.2021443,115.2147609,115.2273193,115.2398171
112.9954697,113.01235,113.0292835,113.0462706,113.0632898,113.0803362,113.0974159,113.1145446,113.1317304,113.1489578,113.1662165,113.1835106,113.200851,113.2182389,113.2356737,113.2531529,113.2706683,113.2882155,113.3057844,113.323385,113.34102,113.3586905,113.3763917,113.3941266,113.4118773,113.4296468,113.4474488,113.4652689,113.4831022,113.500948,113.5188025,113.536656,113.5545179,113.5723862,113.5902545,113.6081243,113.6259887,113.6438476,113.661699,113.6795412,113.6973711,113.7151768,113.7329553,113.7507093,113.7684312,113.7861213,113.8037812,113.8214115,113.8390085,113.8565656,113.8740764,113.8915221,113.9089041,113.9262264,113.9434916,113.960694,113.9778262,113.9948839,114.0118579,114.0287501,114.0455614,114.0622922,114.0789338,114.0954871,114.1119527,114.1283265,114.1446117,114.1608075,114.1769185,114.1929435,114.2088829,114.2247261,114.2404781,114.256153,114.2717428,114.2872354,114.3026412,114.3179682,114.3332195,114.3483975,114.363496,114.3785203,114.3934647,114.4083306,114.4231345,114.437866,114.4525277,114.4671158,114.4816229,114.4960409,114.5104004,114.5247041,114.53895,114.5531412,114.5672626,114.5813222,114.5953275,114.6092788,114.6231839,114.6370409,114.6508605,114.6646497,114.6783997,114.6921116,114.7058007,114.7194684,114.733116,114.746737,114.7603479,114.7739329,114.787494,114.8010358,114.8145559,114.8280671,114.8415682,114.8550622,114.8685478,114.8820272,114.8954787,114.9089265,114.9223544,114.9357604,114.9491545,114.9625345,114.975895,114.9892354,115.0025359,115.0158067,115.0290649,115.0422952,115.0554875,115.0686458,115.0817763,115.0948674,115.1079031,115.1208899,115.133826,115.1467251,115.1595692,115.1723514,115.1850889,115.1977769,115.2103875,115.222941,115.2354363
112.9945797,113.0114445,113.0283611,113.0453285,113.0623265,113.0793524,113.0964134,113.1135264,113.1306928,113.1478973,113.1651383,113.1824126,113.199731,113.217095,113.2345056,113.2519578,113.2694457,113.2869599,113.3045007,113.3220751,113.3396842,113.3573276,113.3750006,113.3927026,113.4104234,113.4281668,113.4459373,113.463724,113.4815225,113.4993341,113.5171489,113.5349621,113.5527883,113.5706203,113.5884463,113.6062716,113.6240956,113.6419158,113.6597295,113.6775317,113.6953188,113.7130814,113.7308171,113.7485272,113.7662079,113.7838548,113.801475,113.8190644,113.8366203,113.8541366,113.8716027,113.8890035,113.9063424,113.9236186,113.9408369,113.9579939,113.9750828,113.9920967,114.0090248,114.0258718,114.0426406,114.0593314,114.0759361,114.0924516,114.1088807,114.1252202,114.1414723,114.1576327,114.1737102,114.1897015,114.2056086,114.2214232,114.2371487,114.2527975,114.2683592,114.283824,114.2991997,114.3144961,114.3297193,114.3448719,114.359946,114.3749478,114.3898734,114.4047214,114.4195053,114.4342187,114.4488629,114.4634329,114.4779252,114.4923271,114.50667,114.5209601,114.5351915,114.5493687,114.5634742,114.5775169,114.5915058,114.605442,114.6193298,114.6331688,114.646973,114.66075,114.6744871,114.6881878,114.7018631,114.715515,114.7291457,114.7427552,114.7563538,114.7699263,114.7834729,114.7970015,114.8105113,114.8240102,114.8374961,114.8509753,114.8644452,114.8779118,114.8913508,114.9047872,114.9182047,114.9315986,114.94498,114.9583441,114.9716865,114.985012,114.9982977,115.0115569,115.024806,115.0380246,115.0512076,115.06436,115.0774828,115.0905658,115.1035939,115.1165711,115.1294987,115.1423873,115.1552213,115.1679953,115.1807252,115.1934048,115.2060109,115.2185602,115.231055
112.9937129,113.0105626,113.0274633,113.0444093,113.0613846,113.0783926,113.0954368,113.1125339,113.1296798,113.1468657,113.1640875,113.1813436,113.1986402,113.2159812,113.2333679,113.250792,113.2682503,113.2857364,113.3032489,113.3207954,113.3383789,113.3559967,113.3736401,113.3913107,113.4089998,113.4267168,113.4444554,113.4622086,113.4799709,113.4977438,113.5155184,113.5332942,113.5510839,113.5688751,113.5866614,113.6044442,113.6222294,113.6400102,113.6577842,113.6755442,113.693289,113.7110096,113.7287024,113.7463701,113.7640093,113.7816167,113.7991967,113.8167461,113.8342604,113.8517325,113.8691516,113.8865091,113.9038062,113.9210371,113.9382101,113.9553218,113.9723681,113.9893388,114.0062218,114.0230235,114.0397516,114.0564049,114.0729732,114.0894509,114.1058407,114.1221445,114.13836,114.154484,114.1705275,114.1864861,114.2023599,114.2181438,114.2338402,114.2494579,114.2649887,114.2804257,114.2957742,114.3110448,114.3262429,114.3413697,114.3564207,114.371402,114.3863081,114.4011374,114.4159022,114.4305987,114.4452244,114.4597772,114.4742553,114.4886397,114.5029654,114.5172392,114.5314537,114.5456153,114.5597044,114.5737292,114.5877013,114.6016214,114.6154912,114.6293155,114.6431067,114.656871,114.670595,114.6842822,114.6979421,114.7115772,114.7251905,114.7387877,114.7523726,114.7659307,114.7794614,114.7929769,114.8064732,114.8199583,114.8334293,114.8468949,114.8603496,114.8738025,114.8872297,114.900652,114.9140574,114.9274367,114.9408041,114.9541513,114.9674782,114.980791,114.9940652,115.0073137,115.0205505,115.0337602,115.0469345,115.0600803,115.0731948,115.0862686,115.0992868,115.1122518,115.1251698,115.1380493,115.1508755,115.1636421,115.1763634,115.189034,115.201636,115.2141822,115.2266754
112.9928694,113.0097061,113.026591,113.0435155,113.0604687,113.0774587,113.0944866,113.1115669,113.1286942,113.1458627,113.1630664,113.1803024,113.1975771,113.2148958,113.232258,113.2496544,113.2670829,113.284545,113.3020293,113.319547,113.3371035,113.3546954,113.3723099,113.3899485,113.4076057,113.4252924,113.443,113.4607191,113.4784436,113.4961788,113.5139142,113.5316537,113.5494067,113.5671562,113.5849035,113.6026479,113.6203937,113.6381346,113.6558674,113.6735837,113.6912855,113.7089628,113.7266143,113.7442418,113.7618426,113.7794119,113.7969501,113.8144574,113.8319285,113.8493531,113.866726,113.88404,113.901294,113.9184813,113.9356098,113.9526774,113.9696792,113.9866035,114.0034417,114.0202019,114.0368926,114.0535091,114.0700377,114.086476,114.1028274,114.1190962,114.1352736,114.151362,114.1673717,114.1832975,114.1991381,114.2148915,114.2305567,114.2461408,114.2616398,114.2770496,114.2923743,114.3076215,114.3227953,114.3378961,114.352925,114.3678827,114.3827683,114.3975797,114.4123232,114.4270016,114.44161,114.4561466,114.4706072,114.4849747,114.4992853,114.5135411,114.5277406,114.5418878,114.5559612,114.5699679,114.5839225,114.5978252,114.6116802,114.62549,114.6392666,114.6530178,114.6667265,114.6803979,114.6940424,114.7076613,114.7212569,114.7348352,114.7484027,114.761943,114.7754591,114.788961,114.8024426,114.8159134,114.8293683,114.8428184,114.856259,114.8696992,114.8831136,114.8965185,114.9099112,114.9232762,114.9366292,114.9499634,114.9632759,114.9765736,114.9898373,115.0030762,115.0163021,115.0295027,115.0426651,115.0557997,115.0689029,115.0819656,115.0949748,115.1079297,115.1208384,115.1337087,115.146525,115.1592801,115.1719927,115.1846592,115.1972569,115.2097989,115.2222882
112.9920478,113.0088711,113.0257403,113.0426446,113.059578,113.0765515,113.093564,113.1106273,113.1277353,113.1448869,113.1620716,113.1792869,113.1965381,113.2138345,113.2311724,113.2485441,113.2659489,113.2833834,113.3008399,113.3183289,113.3358583,113.353421,113.3710079,113.3886154,113.4062404,113.4238913,113.4415662,113.4592518,113.4769405,113.4946392,113.5123379,113.5300405,113.5477539,113.5654636,113.5831722,113.6008782,113.6185853,113.6362887,113.6539803,113.6716519,113.6893105,113.7069459,113.7245589,113.7421487,113.7597102,113.7772386,113.7947354,113.8122011,113.8296276,113.8470043,113.8643303,113.8816011,113.8988131,113.9159564,113.9330399,113.9500626,113.967015,113.9838912,114.0006875,114.0174082,114.0340588,114.0506354,114.0671252,114.0835267,114.0998434,114.1160758,114.1322155,114.1482673,114.1642417,114.180133,114.1959393,114.2116618,114.2272956,114.2428472,114.2583175,114.2737022,114.2890055,114.3042273,114.3193765,114.3344542,114.3494585,114.364392,114.3792554,114.3940464,114.4087687,114.4234288,114.4380187,114.4525359,114.4669787,114.4813306,114.4956279,114.5098682,114.5240535,114.5381841,114.5522406,114.5662308,114.5801672,114.5940547,114.6078964,114.6216917,114.6354499,114.6491835,114.6628755,114.6765288,114.6901565,114.7037592,114.7173349,114.730894,114.7444452,114.7579716,114.7714736,114.7849571,114.7984206,114.8118757,114.8253158,114.8387509,114.8521777,114.8656028,114.879003,114.8923925,114.9057731,114.9191254,114.9324638,114.945785,114.959084,114.9723671,114.9856211,114.9988502,115.0120653,115.0252532,115.0384001,115.0515208,115.0646104,115.07766,115.0906601,115.1036029,115.1164999,115.1293583,115.142164,115.1549103,115.167615,115.1802756,115.1928688,115.205408,115.2178924
112.9912528,113.0080605,113.0249149,113.0418008,113.0587173,113.075673,113.092669,113.1097165,113.1268058,113.1439379,113.1611033,113.1782963,113.1955269,113.2128027,113.2301172,113.2474668,113.2648458,113.2822509,113.29968,113.3171401,113.3346423,113.3521757,113.3697323,113.3873088,113.4049019,113.4225168,113.4401596,113.457811,113.4754657,113.493127,113.5107906,113.528456,113.546129,113.5638021,113.5814721,113.5991384,113.6168062,113.6344722,113.652122,113.6697496,113.6873653,113.7049596,113.7225336,113.7400848,113.757604,113.7750914,113.7925493,113.8099709,113.8273508,113.8446801,113.8619591,113.8791866,113.8963555,113.9134547,113.9304942,113.947471,113.9643744,113.9812045,113.9979581,114.0146392,114.0312501,114.0477881,114.0642392,114.0806038,114.0968839,114.1130785,114.1291812,114.1451941,114.1611317,114.1769894,114.1927644,114.2084578,114.2240607,114.23958,114.2550254,114.2703859,114.2856656,114.3008639,114.3159891,114.3310441,114.3460226,114.3609293,114.3757692,114.3905412,114.4052426,114.4198823,114.4344514,114.4489492,114.4633743,114.4777114,114.4919934,114.5062183,114.5203848,114.5344974,114.5485376,114.5625113,114.5764312,114.5903046,114.6041311,114.6179086,114.631647,114.6453634,114.6590394,114.6726766,114.6862897,114.6998735,114.7134287,114.7269667,114.7405006,114.7540117,114.7674964,114.7809642,114.794412,114.8078538,114.8212785,114.8346987,114.848111,114.861518,114.8749019,114.8882739,114.9016387,114.914975,114.9282998,114.9416104,114.9548958,114.9681654,114.981409,114.9946283,115.0078297,115.021005,115.0341383,115.0472445,115.0603179,115.0733528,115.0863401,115.0992695,115.1121545,115.125002,115.1377983,115.1505345,115.1632292,115.1758825,115.1884702,115.2010046,115.2134827
